"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2025 года)"
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",673
"83. Амурская область","3_1","Число погибших на 100 пострадавших","7.42778542"
"84. Магаданская область","3_1","Количество ДТП с пострадавшими",81
"84. Магаданская область","3_1","Количество лиц, погибших в результате ДТП",6
"84. Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",108
"84. Магаданская область","3_1","Число погибших на 100 пострадавших","5.263157895"
"85. Сахалинская область","3_1","Количество ДТП с пострадавшими",203
"85. Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",15
"85. Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",263
"85. Сахалинская область","3_1","Число погибших на 100 пострадавших","5.395683453"
"86. Еврейская АО","3_1","Количество ДТП с пострадавшими",105
"86. Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",14
"86. Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",139
"86. Еврейская АО","3_1","Число погибших на 100 пострадавших","9.150326797"
"87. Чукотский АО","3_1","Количество ДТП с пострадавшими",11
"87. Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",2
"87. Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",12
"87. Чукотский АО","3_1","Число погибших на 100 пострадавших","14.28571429"
"90. ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",46
"90. ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",2
"90. ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",49
"90. ФТ ""Сириус""","3_1","Число погибших на 100 пострадавших","3.921568627"
"Всего по России ","3_1","Количество ДТП с пострадавшими",69297
"Всего по России ","3_1","Количество лиц, погибших в результате ДТП",7239
"Всего по России ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",86272
"Всего по России ","3_1","Число погибших на 100 пострадавших","7.741335244"
