"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2024 г.)"
"85. Сахалинская область","3_1","Количество ДТП с пострадавшими",37
"85. Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",12
"85. Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",48
"85. Сахалинская область","3_1","Число погибших на 100 пострадавших",20
"86. Еврейская АО","3_1","Количество ДТП с пострадавшими",17
"86. Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",5
"86. Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20
"86. Еврейская АО","3_1","Число погибших на 100 пострадавших",20
"87. Чукотский АО","3_1","Количество ДТП с пострадавшими",3
"87. Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",0
"87. Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3
"87. Чукотский АО","3_1","Число погибших на 100 пострадавших",0
"90. ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",1
"90. ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",0
"90. ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1
"90. ФТ ""Сириус""","3_1","Число погибших на 100 пострадавших",0
"Всего по России ","3_1","Количество ДТП с пострадавшими",15695
"Всего по России ","3_1","Количество лиц, погибших в результате ДТП",1783
"Всего по России ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20278
"Всего по России ","3_1","Число погибших на 100 пострадавших","8,082135896"
