"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2025 г.)"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",318
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",21
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",405
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","4,929577465"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",94
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",5
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",122
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","3,937007874"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",229
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",31
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",285
"83. Амурская область","3_1","Число погибших на 100 пострадавших","9,810126582"
"84. Магаданская область","3_1","Количество ДТП с пострадавшими",38
"84. Магаданская область","3_1","Количество лиц, погибших в результате ДТП",4
"84. Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",46
"84. Магаданская область","3_1","Число погибших на 100 пострадавших",8
"85. Сахалинская область","3_1","Количество ДТП с пострадавшими",90
"85. Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",4
"85. Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",113
"85. Сахалинская область","3_1","Число погибших на 100 пострадавших","3,418803419"
"86. Еврейская АО","3_1","Количество ДТП с пострадавшими",47
"86. Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",1
"86. Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",60
"86. Еврейская АО","3_1","Число погибших на 100 пострадавших","1,639344262"
"87. Чукотский АО","3_1","Количество ДТП с пострадавшими",6
"87. Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",0
"87. Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7
"87. Чукотский АО","3_1","Число погибших на 100 пострадавших",0
"90. ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",18
"90. ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",0
"90. ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20
"90. ФТ ""Сириус""","3_1","Число погибших на 100 пострадавших",0
"Всего по России ","3_1","Количество ДТП с пострадавшими",33345
"Всего по России ","3_1","Количество лиц, погибших в результате ДТП",3510
"Всего по России ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",42052
"Всего по России ","3_1","Число погибших на 100 пострадавших","7,703788245"
