"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2024 г.)"
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",275
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3888
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,605813116"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",136
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",20
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",186
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","9,708737864"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",230
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",17
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",307
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","5,24691358"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",170
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",33
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",213
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","13,41463415"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",162
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",32
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",205
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","13,5021097"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",8
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших","11,11111111"
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",319
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",23
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",412
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","5,287356322"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",304
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",25
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",338
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","6,887052342"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",1496
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",102
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1699
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","5,663520267"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",379
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",68
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",471
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","12,61595547"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",1117
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",34
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1228
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","2,694136292"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",179
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",6
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",267
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","2,197802198"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",171
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",20
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",213
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","8,583690987"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",187
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",29
