"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-октябрь 2024 г.)"
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","4.651162791"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",587
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",68
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",697
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","8.888888889"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",570
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",67
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",678
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","8.993288591"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",17
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",19
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших",5
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",1112
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",102
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1456
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","6.546854942"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",864
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",56
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",994
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5.333333333"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",4753
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",376
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5305
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6.618553072"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",1429
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",254
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1684
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","13.10629515"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",3324
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",122
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3621
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3.259417579"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",500
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",31
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",674
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","4.397163121"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",590
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",57
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",705
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","7.480314961"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",666
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",89
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",887
"31. Псковская область","3_1","Число погибших на 100 пострадавших","9.118852459"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",5240
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",859
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6949
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11.00153689"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",2033
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",293
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2550
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","10.30601477"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",146
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",45
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",233
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","16.18705036"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",1392
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",264
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2004
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","11.64021164"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",545
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",111
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",622
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","15.14324693"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",721
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",61
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1030
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","5.591200733"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",288
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",53
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",339
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","13.52040816"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",115
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",32
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",171
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","15.7635468"
