"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",87
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",12
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",105
"83. Амурская область","3_1","Число погибших на 100 пострадавших","10,25641026"
"84. Магаданская область","3_1","Количество ДТП с пострадавшими",22
"84. Магаданская область","3_1","Количество лиц, погибших в результате ДТП",2
"84. Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",31
"84. Магаданская область","3_1","Число погибших на 100 пострадавших","6,060606061"
"85. Сахалинская область","3_1","Количество ДТП с пострадавшими",48
"85. Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",1
"85. Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",61
"85. Сахалинская область","3_1","Число погибших на 100 пострадавших","1,612903226"
"86. Еврейская АО","3_1","Количество ДТП с пострадавшими",18
"86. Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",0
"86. Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",23
"86. Еврейская АО","3_1","Число погибших на 100 пострадавших",0
"87. Чукотский АО","3_1","Количество ДТП с пострадавшими",0
"87. Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",0
"87. Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",0
"87. Чукотский АО","3_1","Число погибших на 100 пострадавших","-"
"90. ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",11
"90. ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",0
"90. ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",14
"90. ФТ ""Сириус""","3_1","Число погибших на 100 пострадавших",0
"Всего по России ","3_1","Количество ДТП с пострадавшими",15679
"Всего по России ","3_1","Количество лиц, погибших в результате ДТП",1778
"Всего по России ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20147
"Всего по России ","3_1","Число погибших на 100 пострадавших","8,109464082"
