"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"11. Московская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,478679406"
"11. Московская область","3_1","Число погибших на 10 тыс. транспортных средств","1,89017858"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",658
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",65
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",849
"12. Орловская область","3_1","Число погибших на 100 пострадавших","7,111597374"
"12. Орловская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,386471351"
"12. Орловская область","3_1","Число погибших на 10 тыс. транспортных средств","1,980493661"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",1433
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",182
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1974
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","8,441558442"
"13. Рязанская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","16,81711206"
"13. Рязанская область","3_1","Число погибших на 10 тыс. транспортных средств","3,368336893"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",833
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",112
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1022
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","9,87654321"
"14. Смоленская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,96315801"
"14. Смоленская область","3_1","Число погибших на 10 тыс. транспортных средств","3,642856911"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",1058
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",130
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1453
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","8,212255212"
"15. Тамбовская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,59417416"
"15. Тамбовская область","3_1","Число погибших на 10 тыс. транспортных средств","2,606223662"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",1423
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",150
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1755
"16. Тверская область","3_1","Число погибших на 100 пострадавших","7,874015748"
