"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"50. Удмуртская Республика","3_1","Число погибших на 10 тыс. транспортных средств","2,636120048"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",812
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",106
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1023
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","9,388839681"
"51. Чувашская Республика","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,082644352"
"51. Чувашская Республика","3_1","Число погибших на 10 тыс. транспортных средств","2,896633893"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",1591
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",134
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1979
"52. Кировская область","3_1","Число погибших на 100 пострадавших","6,341694274"
"52. Кировская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,85908924"
"52. Кировская область","3_1","Число погибших на 10 тыс. транспортных средств","2,795440511"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",4593
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",342
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5777
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","5,589148554"
"53. Нижегородская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,17524715"
"53. Нижегородская область","3_1","Число погибших на 10 тыс. транспортных средств","2,014040572"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",1228
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",225
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1561
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","12,59798432"
"54. Оренбургская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,30411843"
"54. Оренбургская область","3_1","Число погибших на 10 тыс. транспортных средств","2,084147695"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",1595
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",177
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2164
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","7,560871422"
"55. Пензенская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","14,31907924"
"55. Пензенская область","3_1","Число погибших на 10 тыс. транспортных средств","3,457308105"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",2017
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",218
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2551
"56. Пермский край","3_1","Число погибших на 100 пострадавших","7,872878295"
"56. Пермский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,736543519"
"56. Пермский край","3_1","Число погибших на 10 тыс. транспортных средств","1,74645062"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",3024
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",311
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3887
"57. Самарская область","3_1","Число погибших на 100 пострадавших","7,408289662"
"57. Самарская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,942957477"
"57. Самарская область","3_1","Число погибших на 10 тыс. транспортных средств","2,522593843"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",2521
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",259
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3279
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","7,320520068"
"58. Саратовская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,85879665"
"58. Саратовская область","3_1","Число погибших на 10 тыс. транспортных средств","2,574209797"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",914
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",105
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1245
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","7,777777778"
"59. Ульяновская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,953070562"
"59. Ульяновская область","3_1","Число погибших на 10 тыс. транспортных средств","2,244361842"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",11378
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1101
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",14383
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","7,110565745"
"Уральский фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,978743376"
"Уральский фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","1,661524141"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",799
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",112
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",969
"60. Курганская область","3_1","Число погибших на 100 пострадавших","10,36077706"
"60. Курганская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","14,87379848"
"60. Курганская область","3_1","Число погибших на 10 тыс. транспортных средств","2,785452972"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",2714
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",318
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3360
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8,646003263"
"61. Свердловская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,530735703"
"61. Свердловская область","3_1","Число погибших на 10 тыс. транспортных средств","1,262650828"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",4363
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",331
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5754
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,439605588"
"62. Тюменская область (с а/о)","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,507247867"
"62. Тюменская область (с а/о)","3_1","Число погибших на 10 тыс. транспортных средств","1,625050323"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",2847
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",180
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3714
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,622496148"
"63.   Тюменская обл. (без а/о)","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,14237855"
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 10 тыс. транспортных средств","2,301148785"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",1208
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",118
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1686
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6,541019956"
"64.   Ханты-Мансийский АО - Югра","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","6,706885243"
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 10 тыс. транспортных средств","1,207563852"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",308
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",33
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",354
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","8,527131783"
"65.   Ямало-Ненецкий АО","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","6,395844639"
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 10 тыс. транспортных средств","1,189326337"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",3502
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",340
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4300
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7,327586207"
"66. Челябинская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,01237412"
"66. Челябинская область","3_1","Число погибших на 10 тыс. транспортных средств","2,037165081"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",17048
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1748
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",21478
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,526048394"
"Сибирский фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,55100448"
"Сибирский фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","2,494613675"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",356
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",44
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",448
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","8,943089431"
"67. Республика Алтай","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","20,87633146"
"67. Республика Алтай","3_1","Число погибших на 10 тыс. транспортных средств","4,234474396"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",513
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",95
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",738
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","11,40456182"
"69. Республика Тыва","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","28,14447894"
"69. Республика Тыва","3_1","Число погибших на 10 тыс. транспортных средств","12,0746851"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",499
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",47
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",621
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","7,035928144"
"70. Республика Хакасия","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,898565816"
"70. Республика Хакасия","3_1","Число погибших на 10 тыс. транспортных средств","1,636706807"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",2206
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",212
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2887
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6,840916425"
"71. Алтайский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,02218117"
"71. Алтайский край","3_1","Число погибших на 10 тыс. транспортных средств","2,16649958"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",3169
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",301
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3815
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","7,31292517"
"72. Красноярский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,57580144"
"72. Красноярский край","3_1","Число погибших на 10 тыс. транспортных средств","2,457465838"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",2271
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",291
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2812
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9,37802127"
"73. Иркутская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,48639262"
"73. Иркутская область","3_1","Число погибших на 10 тыс. транспортных средств","3,437899833"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",2305
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",276
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2987
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8,458473797"
"74. Кемеровская область - Кузбасс","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,83336866"
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 10 тыс. транспортных средств","2,443812241"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",2707
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",267
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3354
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","7,373653687"
"75. Новосибирская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,571498015"
"75. Новосибирская область","3_1","Число погибших на 10 тыс. транспортных средств","2,100304898"
"76. Омская область","3_1","Количество ДТП с пострадавшими",2574
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",149
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3308
"76. Омская область","3_1","Число погибших на 100 пострадавших","4,310095458"
"76. Омская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,195400345"
"76. Омская область","3_1","Число погибших на 10 тыс. транспортных средств","2,257189299"
"77. Томская область","3_1","Количество ДТП с пострадавшими",448
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",66
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",508
"77. Томская область","3_1","Число погибших на 100 пострадавших","11,49825784"
"77. Томская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","6,325565347"
"77. Томская область","3_1","Число погибших на 10 тыс. транспортных средств","1,546442479"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",8785
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1056
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11162
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8,642985759"
"Дальневосточный фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,42427944"
"Дальневосточный фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","2,728225351"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",1045
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",114
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1357
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","7,749830048"
"68. Республика Бурятия","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,7293363"
"68. Республика Бурятия","3_1","Число погибших на 10 тыс. транспортных средств","2,881334513"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",739
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",77
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",988
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","7,230046948"
"79. Республика Саха (Якутия)","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,687208485"
"79. Республика Саха (Якутия)","3_1","Число погибших на 10 тыс. транспортных средств","2,246941825"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",965
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",200
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1096
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","15,43209877"
"78. Забайкальский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","20,31704753"
"78. Забайкальский край","3_1","Число погибших на 10 тыс. транспортных средств","4,30104752"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",2406
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",246
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3139
"80. Приморский край","3_1","Число погибших на 100 пострадавших","7,267355982"
"80. Приморский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,61829901"
"80. Приморский край","3_1","Число погибших на 10 тыс. транспортных средств","2,033609111"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",1303
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",145
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1571
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","8,44988345"
"81. Хабаровский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,34468114"
"81. Хабаровский край","3_1","Число погибших на 10 тыс. транспортных средств","2,7412488"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",408
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",39
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",503
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","7,195571956"
"82. Камчатский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,49728497"
"82. Камчатский край","3_1","Число погибших на 10 тыс. транспортных средств","1,718394755"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",1137
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",123
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1527
"83. Амурская область","3_1","Число погибших на 100 пострадавших","7,454545455"
"83. Амурская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","16,39818527"
"83. Амурская область","3_1","Число погибших на 10 тыс. транспортных средств","3,658547467"
"84. Магаданская область","3_1","Количество ДТП с пострадавшими",170
"84. Магаданская область","3_1","Количество лиц, погибших в результате ДТП",23
"84. Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",218
"84. Магаданская область","3_1","Число погибших на 100 пострадавших","9,543568465"
"84. Магаданская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","17,24305967"
"84. Магаданская область","3_1","Число погибших на 10 тыс. транспортных средств","2,958389607"
"85. Сахалинская область","3_1","Количество ДТП с пострадавшими",387
"85. Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",66
"85. Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",479
"85. Сахалинская область","3_1","Число погибших на 100 пострадавших","12,11009174"
"85. Сахалинская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","14,42339212"
"85. Сахалинская область","3_1","Число погибших на 10 тыс. транспортных средств","3,168796002"
"86. Еврейская АО","3_1","Количество ДТП с пострадавшими",211
"86. Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",22
"86. Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",264
"86. Еврейская АО","3_1","Число погибших на 100 пострадавших","7,692307692"
"86. Еврейская АО","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","15,08895626"
"86. Еврейская АО","3_1","Число погибших на 10 тыс. транспортных средств","3,400098912"
"87. Чукотский АО","3_1","Количество ДТП с пострадавшими",14
"87. Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",1
"87. Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20
"87. Чукотский АО","3_1","Число погибших на 100 пострадавших","4,761904762"
"87. Чукотский АО","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","2,082075413"
"87. Чукотский АО","3_1","Число погибших на 10 тыс. транспортных средств","0,675949709"
"90. ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",88
"90. ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",6
"90. ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",93
"90. ФТ ""Сириус""","3_1","Число погибших на 100 пострадавших","6,060606061"
"90. ФТ ""Сириус""","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","-"
"90. ФТ ""Сириус""","3_1","Число погибших на 10 тыс. транспортных средств","-"
"Всего по России ","3_1","Количество ДТП с пострадавшими",131565
"Всего по России ","3_1","Количество лиц, погибших в результате ДТП",14368
"Всего по России ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",163999
"Всего по России ","3_1","Число погибших на 100 пострадавших","8,055301709"
"Всего по России ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,83094248"
"Всего по России ","3_1","Число погибших на 10 тыс. транспортных средств","2,275989986"
