"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июнь 2025 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",14084
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1414
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",17240
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,580143669"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",509
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",47
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",680
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","6,464924347"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",212
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",51
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",242
"2. Брянская область","3_1","Число погибших на 100 пострадавших","17,40614334"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",787
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",99
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1105
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","8,222591362"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",1258
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",141
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1634
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","7,943661972"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",398
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",40
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",527
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","7,054673721"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",497
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",57
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",640
"6. Калужская область","3_1","Число погибших на 100 пострадавших","8,177905308"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",496
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",28
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",622
"7. Костромская область","3_1","Число погибших на 100 пострадавших","4,307692308"
"8. Курская область","3_1","Количество ДТП с пострадавшими",411
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",39
