"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июнь 2025 г.)"
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",500
"8. Курская область","3_1","Число погибших на 100 пострадавших","7,235621521"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",470
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",57
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",582
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","8,920187793"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",3715
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",100
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4182
"10. г. Москва","3_1","Число погибших на 100 пострадавших","2,33535731"
"11. Московская область","3_1","Количество ДТП с пострадавшими",1603
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",314
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1742
"11. Московская область","3_1","Число погибших на 100 пострадавших","15,27237354"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",331
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",65
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",445
"12. Орловская область","3_1","Число погибших на 100 пострадавших","12,74509804"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",642
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",91
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",850
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","9,670563231"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",328
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",35
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",379
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","8,45410628"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",505
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",47
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",653
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","6,714285714"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",609
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",70
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",787
"16. Тверская область","3_1","Число погибших на 100 пострадавших","8,168028005"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",731
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",70
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",935
"17. Тульская область","3_1","Число погибших на 100 пострадавших","6,965174129"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",582
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",63
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",735
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","7,894736842"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",4905
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",406
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5913
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,425067257"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",334
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",23
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",497
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","4,423076923"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",341
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",25
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",444
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","5,330490405"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",279
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",21
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",336
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","5,882352941"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",268
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",21
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",322
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","6,12244898"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",11
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",0
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",14
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших",0
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",533
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",51
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",665
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","7,122905028"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",472
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",27
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",536
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","4,795737123"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",2165
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",174
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2452
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,62604722"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",668
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",116
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",803
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","12,62241567"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",1497
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",58
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1649
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,397773872"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",248
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",15
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",343
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","4,189944134"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",244
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",34
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",273
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","11,07491857"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",289
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",36
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",367
"31. Псковская область","3_1","Число погибших на 100 пострадавших","8,933002481"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",2714
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",412
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3625
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","10,20559822"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",1078
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",136
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1372
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","9,018567639"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",107
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",17
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",155
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","9,88372093"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",643
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",143
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",893
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","13,8030888"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",257
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",35
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",322
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","9,803921569"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",372
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",31
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",557
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","5,272108844"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",192
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",30
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",238
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","11,19402985"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",65
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",20
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",88
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","18,51851852"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",6194
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",816
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7567
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,733985447"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",2500
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",314
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2970
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9,561510353"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",478
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",48
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",590
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","7,523510972"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",1007
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",111
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1283
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","7,962697274"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",1163
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",189
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1391
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","11,96202532"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",172
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",19
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",197
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","8,796296296"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",246
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",37
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",336
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","9,919571046"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",469
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",88
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",588
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","13,01775148"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",159
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",10
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",212
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","4,504504505"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",11939
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1194
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15189
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,288042483"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",1265
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",173
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1529
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","10,16451234"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",312
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",30
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",436
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","6,43776824"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",247
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",48
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",322
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","12,97297297"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",1409
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",122
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1740
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","6,552094522"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",616
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",54
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",741
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","6,79245283"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",319
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",42
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",370
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","10,19417476"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",670
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",59
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",856
"52. Кировская область","3_1","Число погибших на 100 пострадавших","6,448087432"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",1976
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",137
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2559
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","5,081602374"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",543
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",90
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",662
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","11,96808511"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",734
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",64
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",980
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","6,130268199"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",936
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",97
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1247
"56. Пермский край","3_1","Число погибших на 100 пострадавших","7,217261905"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",1497
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",115
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1924
"57. Самарская область","3_1","Число погибших на 100 пострадавших","5,640019617"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",1032
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",118
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1319
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","8,211551844"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",383
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",45
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",504
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","8,196721311"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",4878
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",477
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6046
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","7,312586233"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",312
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",54
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",379
"60. Курганская область","3_1","Число погибших на 100 пострадавших","12,47113164"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",1114
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",127
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1353
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8,581081081"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",1802
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",137
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2369
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,466879489"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",1216
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",80
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1581
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,816375677"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",478
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",45
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",652
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6,456241033"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",108
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",12
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",136
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","8,108108108"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",1650
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",159
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1945
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7,557034221"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",7576
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",700
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9486
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","6,872177499"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",145
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",16
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",181
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","8,121827411"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",298
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",47
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",393
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","10,68181818"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",198
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",28
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",252
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших",10
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",988
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",95
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1331
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6,661991585"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",1291
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",127
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1574
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","7,466196355"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",945
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",135
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1137
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","10,61320755"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",1014
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",80
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1259
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","5,974607916"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",1410
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",117
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1670
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","6,547285954"
"76. Омская область","3_1","Количество ДТП с пострадавшими",1128
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",40
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1497
"76. Омская область","3_1","Число погибших на 100 пострадавших","2,602472349"
"77. Томская область","3_1","Количество ДТП с пострадавшими",159
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",15
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",192
"77. Томская область","3_1","Число погибших на 100 пострадавших","7,246376812"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",3638
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",381
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4630
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","7,6032728"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",416
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",61
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",520
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","10,49913941"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",339
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",28
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",458
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","5,761316872"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",453
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",87
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",526
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","14,19249592"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",1036
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",86
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1351
"80. Приморский край","3_1","Число погибших на 100 пострадавших","5,984690327"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",528
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",41
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",673
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","5,742296919"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",139
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",9
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",178
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","4,812834225"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",414
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",45
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",519
"83. Амурская область","3_1","Число погибших на 100 пострадавших","7,978723404"
"84. Магаданская область","3_1","Количество ДТП с пострадавшими",66
"84. Магаданская область","3_1","Количество лиц, погибших в результате ДТП",6
"84. Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",86
"84. Магаданская область","3_1","Число погибших на 100 пострадавших","6,52173913"
