"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-ноябрь 2024 года)"
"83. Амурская область","3_1","Число погибших на 100 пострадавших","7.77705768"
"84. Магаданская область","3_1","Количество ДТП с пострадавшими",160
"84. Магаданская область","3_1","Количество лиц, погибших в результате ДТП",23
"84. Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",204
"84. Магаданская область","3_1","Число погибших на 100 пострадавших","10.13215859"
"85. Сахалинская область","3_1","Количество ДТП с пострадавшими",348
"85. Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",59
"85. Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",432
"85. Сахалинская область","3_1","Число погибших на 100 пострадавших","12.01629328"
"86. Еврейская АО","3_1","Количество ДТП с пострадавшими",202
"86. Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",21
"86. Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",255
"86. Еврейская АО","3_1","Число погибших на 100 пострадавших","7.608695652"
"87. Чукотский АО","3_1","Количество ДТП с пострадавшими",13
"87. Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",1
"87. Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",19
"87. Чукотский АО","3_1","Число погибших на 100 пострадавших",5
"90. ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",76
"90. ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",6
"90. ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",81
"90. ФТ ""Сириус""","3_1","Число погибших на 100 пострадавших","6.896551724"
"Всего по России ","3_1","Количество ДТП с пострадавшими",119951
"Всего по России ","3_1","Количество лиц, погибших в результате ДТП",13139
"Всего по России ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",149117
"Всего по России ","3_1","Число погибших на 100 пострадавших","8.097697466"
