Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь - июнь 2023 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
Республика Карелия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",273
Республика Карелия,3_1,Число погибших на 100 пострадавших,"12,77955272"
Республика Коми,3_1,Количество ДТП с пострадавшими,373
Республика Коми,3_1,"Количество лиц, погибших в результате ДТП",22
Республика Коми,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",497
Республика Коми,3_1,Число погибших на 100 пострадавших,"4,238921002"
Архангельская обл. (с АО ),3_1,Количество ДТП с пострадавшими,315
Архангельская обл. (с АО ),3_1,"Количество лиц, погибших в результате ДТП",28
Архангельская обл. (с АО ),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",394
Архангельская обл. (с АО ),3_1,Число погибших на 100 пострадавших,"6,63507109"
  Архангельская обл. (без а/о),3_1,Количество ДТП с пострадавшими,307
  Архангельская обл. (без а/о),3_1,"Количество лиц, погибших в результате ДТП",28
  Архангельская обл. (без а/о),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",386
  Архангельская обл. (без а/о),3_1,Число погибших на 100 пострадавших,"6,763285024"
  Ненецкий АО,3_1,Количество ДТП с пострадавшими,8
  Ненецкий АО,3_1,"Количество лиц, погибших в результате ДТП",0
  Ненецкий АО,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",8
  Ненецкий АО,3_1,Число погибших на 100 пострадавших,0
Вологодская область,3_1,Количество ДТП с пострадавшими,545
Вологодская область,3_1,"Количество лиц, погибших в результате ДТП",52
Вологодская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",703
Вологодская область,3_1,Число погибших на 100 пострадавших,"6,887417219"
Калининградская область,3_1,Количество ДТП с пострадавшими,422
Калининградская область,3_1,"Количество лиц, погибших в результате ДТП",25
Калининградская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",481
Калининградская область,3_1,Число погибших на 100 пострадавших,"4,940711462"
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,Количество ДТП с пострадавшими,2679
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,"Количество лиц, погибших в результате ДТП",187
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",3129
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,Число погибших на 100 пострадавших,"5,639324487"
  Ленинградская область,3_1,Количество ДТП с пострадавшими,830
  Ленинградская область,3_1,"Количество лиц, погибших в результате ДТП",129
  Ленинградская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1039
  Ленинградская область,3_1,Число погибших на 100 пострадавших,"11,04452055"
  г. Санкт-Петербург,3_1,Количество ДТП с пострадавшими,1849
  г. Санкт-Петербург,3_1,"Количество лиц, погибших в результате ДТП",58
  г. Санкт-Петербург,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",2090
  г. Санкт-Петербург,3_1,Число погибших на 100 пострадавших,"2,70018622"
Мурманская область,3_1,Количество ДТП с пострадавшими,264
Мурманская область,3_1,"Количество лиц, погибших в результате ДТП",18
Мурманская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",402
Мурманская область,3_1,Число погибших на 100 пострадавших,"4,285714286"
Новгородская  область,3_1,Количество ДТП с пострадавшими,275
Новгородская  область,3_1,"Количество лиц, погибших в результате ДТП",46
Новгородская  область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",336
Новгородская  область,3_1,Число погибших на 100 пострадавших,"12,04188482"
Псковская область,3_1,Количество ДТП с пострадавшими,295
Псковская область,3_1,"Количество лиц, погибших в результате ДТП",27
Псковская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",415
Псковская область,3_1,Число погибших на 100 пострадавших,"6,108597285"
Северо-Кавказский фед.округ,3_1,Количество ДТП с пострадавшими,2807
Северо-Кавказский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",462
Северо-Кавказский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",3978
Северо-Кавказский фед.округ,3_1,Число погибших на 100 пострадавших,"10,40540541"
Ставропольский край,3_1,Количество ДТП с пострадавшими,1066
Ставропольский край,3_1,"Количество лиц, погибших в результате ДТП",151
Ставропольский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1414
Ставропольский край,3_1,Число погибших на 100 пострадавших,"9,6485623"
Республика Ингушетия,3_1,Количество ДТП с пострадавшими,90
Республика Ингушетия,3_1,"Количество лиц, погибших в результате ДТП",39
Республика Ингушетия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",159
Республика Ингушетия,3_1,Число погибших на 100 пострадавших,"19,6969697"
Республика Дагестан,3_1,Количество ДТП с пострадавшими,718
Республика Дагестан,3_1,"Количество лиц, погибших в результате ДТП",147
Республика Дагестан,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1083
Республика Дагестан,3_1,Число погибших на 100 пострадавших,"11,95121951"
Кабардино-Балкарская Респ.,3_1,Количество ДТП с пострадавшими,265
Кабардино-Балкарская Респ.,3_1,"Количество лиц, погибших в результате ДТП",28
Кабардино-Балкарская Респ.,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",361
Кабардино-Балкарская Респ.,3_1,Число погибших на 100 пострадавших,"7,197943445"
Респ. Сев.Осетия - Алания,3_1,Количество ДТП с пострадавшими,418
Респ. Сев.Осетия - Алания,3_1,"Количество лиц, погибших в результате ДТП",48
Респ. Сев.Осетия - Алания,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",647
Респ. Сев.Осетия - Алания,3_1,Число погибших на 100 пострадавших,"6,90647482"
Карачаево-Черкесская Респ.,3_1,Количество ДТП с пострадавшими,194
Карачаево-Черкесская Респ.,3_1,"Количество лиц, погибших в результате ДТП",29
Карачаево-Черкесская Респ.,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",235
Карачаево-Черкесская Респ.,3_1,Число погибших на 100 пострадавших,"10,98484848"
Чеченская Республика,3_1,Количество ДТП с пострадавшими,56
Чеченская Республика,3_1,"Количество лиц, погибших в результате ДТП",20
Чеченская Республика,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",79
Чеченская Республика,3_1,Число погибших на 100 пострадавших,"20,2020202"
Южный фед.округ,3_1,Количество ДТП с пострадавшими,6418
Южный фед.округ,3_1,"Количество лиц, погибших в результате ДТП",829
Южный фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",7969
Южный фед.округ,3_1,Число погибших на 100 пострадавших,"9,422596045"
Краснодарский край,3_1,Количество ДТП с пострадавшими,2560
Краснодарский край,3_1,"Количество лиц, погибших в результате ДТП",297
Краснодарский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",3129
Краснодарский край,3_1,Число погибших на 100 пострадавших,"8,669001751"
Астраханская область,3_1,Количество ДТП с пострадавшими,413
Астраханская область,3_1,"Количество лиц, погибших в результате ДТП",28
Астраханская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",533
Астраханская область,3_1,Число погибших на 100 пострадавших,"4,991087344"
Волгоградская область,3_1,Количество ДТП с пострадавшими,1014
Волгоградская область,3_1,"Количество лиц, погибших в результате ДТП",94
Волгоградская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1328
Волгоградская область,3_1,Число погибших на 100 пострадавших,"6,610407876"
Ростовская область,3_1,Количество ДТП с пострадавшими,1179
Ростовская область,3_1,"Количество лиц, погибших в результате ДТП",219
Ростовская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1407
Ростовская область,3_1,Число погибших на 100 пострадавших,"13,46863469"
Республика Адыгея,3_1,Количество ДТП с пострадавшими,190
Республика Адыгея,3_1,"Количество лиц, погибших в результате ДТП",23
Республика Адыгея,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",227
Республика Адыгея,3_1,Число погибших на 100 пострадавших,"9,2"
Республика Калмыкия,3_1,Количество ДТП с пострадавшими,219
Республика Калмыкия,3_1,"Количество лиц, погибших в результате ДТП",58
Республика Калмыкия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",295
Республика Калмыкия,3_1,Число погибших на 100 пострадавших,"16,4305949"
Республика Крым,3_1,Количество ДТП с пострадавшими,580
Республика Крым,3_1,"Количество лиц, погибших в результате ДТП",96
Республика Крым,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",728
Республика Крым,3_1,Число погибших на 100 пострадавших,"11,65048544"
г. Севастополь,3_1,Количество ДТП с пострадавшими,263
г. Севастополь,3_1,"Количество лиц, погибших в результате ДТП",14
г. Севастополь,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",322
г. Севастополь,3_1,Число погибших на 100 пострадавших,"4,166666667"
Приволжский фед.округ,3_1,Количество ДТП с пострадавшими,11954
Приволжский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",1160
Приволжский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",15192
Приволжский фед.округ,3_1,Число погибших на 100 пострадавших,"7,093933464"
Республика Башкортостан,3_1,Количество ДТП с пострадавшими,1535
Республика Башкортостан,3_1,"Количество лиц, погибших в результате ДТП",144
Республика Башкортостан,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1810
Республика Башкортостан,3_1,Число погибших на 100 пострадавших,"7,369498465"
Республика Марий Эл,3_1,Количество ДТП с пострадавшими,248
