"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - август 2024 г.)"
"Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",52
"Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",550
"Республика Карелия","3_1","Число погибших на 100 пострадавших","8,637873754"
"Республика Коми","3_1","Количество ДТП с пострадавшими",551
"Республика Коми","3_1","Количество лиц, погибших в результате ДТП",34
"Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",707
"Республика Коми","3_1","Число погибших на 100 пострадавших","4,588394062"
"Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",441
"Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",51
"Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",523
"Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","8,885017422"
"  Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",422
"  Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",50
"  Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",503
"  Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","9,04159132"
"  Ненецкий АО","3_1","Количество ДТП с пострадавшими",19
"  Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"  Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20
"  Ненецкий АО","3_1","Число погибших на 100 пострадавших","4,761904762"
"Вологодская область","3_1","Количество ДТП с пострадавшими",850
"Вологодская область","3_1","Количество лиц, погибших в результате ДТП",73
"Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1111
"Вологодская область","3_1","Число погибших на 100 пострадавших","6,165540541"
"Калининградская область","3_1","Количество ДТП с пострадавшими",675
"Калининградская область","3_1","Количество лиц, погибших в результате ДТП",48
"Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",776
"Калининградская область","3_1","Число погибших на 100 пострадавших","5,825242718"
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",3679
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",285
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4121
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,468452111"
"  Ленинградская область","3_1","Количество ДТП с пострадавшими",1082
"  Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",197
"  Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1298
"  Ленинградская область","3_1","Число погибших на 100 пострадавших","13,17725753"
"  г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",2597
"  г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",88
"  г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2823
"  г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,023016146"
"Мурманская область","3_1","Количество ДТП с пострадавшими",361
"Мурманская область","3_1","Количество лиц, погибших в результате ДТП",25
"Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",488
"Мурманская область","3_1","Число погибших на 100 пострадавших","4,873294347"
"Новгородская  область","3_1","Количество ДТП с пострадавшими",449
"Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",48
"Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",538
"Новгородская  область","3_1","Число погибших на 100 пострадавших","8,19112628"
"Псковская область","3_1","Количество ДТП с пострадавшими",537
"Псковская область","3_1","Количество лиц, погибших в результате ДТП",69
"Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",724
"Псковская область","3_1","Число погибших на 100 пострадавших","8,701134931"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",3986
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",674
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5306
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11,27090301"
"Ставропольский край","3_1","Количество ДТП с пострадавшими",1552
"Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",235
