"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-май 2025 г.)"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",226
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",19
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",279
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","6,375838926"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",217
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",19
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",267
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","6,643356643"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",9
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",0
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",12
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших",0
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",418
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",43
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",530
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","7,504363002"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",385
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",21
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",443
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","4,525862069"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",1713
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",144
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1933
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,933076553"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",533
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",96
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",633
