"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июнь 2024 г.)"
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",459
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6477
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,617647059"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",271
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",33
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",350
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","8,61618799"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",365
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",23
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",470
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","4,665314402"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",270
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",37
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",326
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","10,19283747"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",259
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",36
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",315
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","10,25641026"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",11
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших","8,333333333"
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",560
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",41
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",706
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","5,488621151"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",506
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",35
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",583
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5,663430421"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",2546
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",200
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2850
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,557377049"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",706
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",130
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",850
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","13,26530612"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",1840
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",70
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2000
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,381642512"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",257
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",10
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",363
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","2,680965147"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",283
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",34
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",344
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","8,994708995"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",358
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",46
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",485
"31. Псковская область","3_1","Число погибших на 100 пострадавших","8,662900188"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",2821
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",483
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3711
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11,51645207"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",1095
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",168
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1364
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","10,96605744"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",75
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",24
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",116
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","17,14285714"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",773
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",146
