"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - май 2024 г.)"
"Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",28
"Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",257
"Республика Карелия","3_1","Число погибших на 100 пострадавших","9,824561404"
"Республика Коми","3_1","Количество ДТП с пострадавшими",293
"Республика Коми","3_1","Количество лиц, погибших в результате ДТП",20
"Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",378
"Республика Коми","3_1","Число погибших на 100 пострадавших","5,025125628"
"Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",218
"Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",36
"Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",270
"Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","11,76470588"
"  Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",208
"  Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",35
"  Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",261
"  Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","11,82432432"
"  Ненецкий АО","3_1","Количество ДТП с пострадавшими",10
"  Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"  Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9
"  Ненецкий АО","3_1","Число погибших на 100 пострадавших",10
"Вологодская область","3_1","Количество ДТП с пострадавшими",442
"Вологодская область","3_1","Количество лиц, погибших в результате ДТП",29
"Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",563
"Вологодская область","3_1","Число погибших на 100 пострадавших","4,898648649"
"Калининградская область","3_1","Количество ДТП с пострадавшими",410
"Калининградская область","3_1","Количество лиц, погибших в результате ДТП",32
"Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",464
"Калининградская область","3_1","Число погибших на 100 пострадавших","6,451612903"
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",2016
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",158
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2279
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,483381206"
"  Ленинградская область","3_1","Количество ДТП с пострадавшими",541
"  Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",102
"  Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",664
"  Ленинградская область","3_1","Число погибших на 100 пострадавших","13,31592689"
"  г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",1475
"  г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",56
"  г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1615
"  г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,351286655"
"Мурманская область","3_1","Количество ДТП с пострадавшими",204
"Мурманская область","3_1","Количество лиц, погибших в результате ДТП",10
"Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",295
"Мурманская область","3_1","Число погибших на 100 пострадавших","3,278688525"
"Новгородская  область","3_1","Количество ДТП с пострадавшими",224
"Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",29
"Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",280
"Новгородская  область","3_1","Число погибших на 100 пострадавших","9,385113269"
"Псковская область","3_1","Количество ДТП с пострадавшими",264
"Псковская область","3_1","Количество лиц, погибших в результате ДТП",34
"Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",351
"Псковская область","3_1","Число погибших на 100 пострадавших","8,831168831"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",2249
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",386
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2923
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11,66515564"
"Ставропольский край","3_1","Количество ДТП с пострадавшими",865
"Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",134
"Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1067
"Ставропольский край","3_1","Число погибших на 100 пострадавших","11,15736886"
"Республика Ингушетия","3_1","Количество ДТП с пострадавшими",63
"Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",18
"Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",98
"Республика Ингушетия","3_1","Число погибших на 100 пострадавших","15,51724138"
"Республика Дагестан","3_1","Количество ДТП с пострадавшими",598
"Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",120
"Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",845
"Республика Дагестан","3_1","Число погибших на 100 пострадавших","12,43523316"
"Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",255
"Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",43
"Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",287
"Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","13,03030303"
"Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",297
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",22
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",421
"Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","4,966139955"
"Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",133
"Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",35
"Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",161
"Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","17,85714286"
"Чеченская Республика","3_1","Количество ДТП с пострадавшими",38
"Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",14
"Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",44
"Чеченская Республика","3_1","Число погибших на 100 пострадавших","24,13793103"
"Южный фед.округ","3_1","Количество ДТП с пострадавшими",5367
"Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",703
"Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6536
"Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,711286089"
"Краснодарский край","3_1","Количество ДТП с пострадавшими",2125
"Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",275
"Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2595
"Краснодарский край","3_1","Число погибших на 100 пострадавших","9,581881533"
"Астраханская область","3_1","Количество ДТП с пострадавшими",352
"Астраханская область","3_1","Количество лиц, погибших в результате ДТП",27
"Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",434
"Астраханская область","3_1","Число погибших на 100 пострадавших","5,856832972"
"Волгоградская область","3_1","Количество ДТП с пострадавшими",857
"Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",76
"Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1077
